symbol,exchange,name
000020,KRX,동화약품
000040,KRX,KR모터스
000050,KRX,경방
000070,KRX,삼양홀딩스
000080,KRX,하이트진로
000087,KRX,하이트진로2우B
000100,KRX,유한양행
000105,KRX,유한양행우
000120,KRX,CJ대한통운
000140,KRX,하이트진로홀딩스
000145,KRX,하이트진로홀딩스우
000150,KRX,두산
000155,KRX,두산우
000157,KRX,두산2우B
000180,KRX,성창기업지주
000210,KRX,DL
000215,KRX,DL우
000220,KRX,유유제약
000225,KRX,유유제약1우
000227,KRX,유유제약2우B
000230,KRX,일동홀딩스
000240,KRX,한국앤컴퍼니
000250,KRX,삼천당제약
000270,KRX,기아
000300,KRX,DH오토넥스
000320,KRX,노루홀딩스
000325,KRX,노루홀딩스우
000370,KRX,한화손해보험
000390,KRX,삼화페인트
000400,KRX,롯데손해보험
000430,KRX,대원강업
000440,KRX,중앙에너비스
000480,KRX,CR홀딩스
000490,KRX,대동
000500,KRX,가온전선
000520,KRX,삼일제약
000540,KRX,흥국화재
000545,KRX,흥국화재우
000590,KRX,CS홀딩스
000640,KRX,동아쏘시오홀딩스
000650,KRX,천일고속
000660,KRX,SK하이닉스
000670,KRX,영풍
000680,KRX,LS네트웍스
000700,KRX,유수홀딩스
000720,KRX,현대건설
000725,KRX,현대건설우
000760,KRX,이화산업
000810,KRX,삼성화재
000815,KRX,삼성화재우
000850,KRX,화천기공
000860,KRX,강남제비스코
000880,KRX,한화
000890,KRX,보해양조
000910,KRX,유니온
000950,KRX,전방
000970,KRX,한국주철관
000990,KRX,DB하이텍
001000,KRX,신라섬유
001020,KRX,페이퍼코리아
001040,KRX,CJ
001045,KRX,CJ우
001060,KRX,JW중외제약
001065,KRX,JW중외제약우
001067,KRX,JW중외제약2우B
001070,KRX,대한방직
001080,KRX,만호제강
001120,KRX,LX인터내셔널
001130,KRX,대한제분
001140,KRX,국보
001200,KRX,유진투자증권
001210,KRX,금호전기
001230,KRX,동국홀딩스
001250,KRX,GS글로벌
001260,KRX,남광토건
001270,KRX,부국증권
001275,KRX,부국증권우
001290,KRX,상상인증권
001340,KRX,PKC
001360,KRX,삼성제약
001380,KRX,SG글로벌
001390,KRX,KG케미칼
001420,KRX,태원물산
001430,KRX,세아베스틸지주
001440,KRX,대한전선
001450,KRX,현대해상
001460,KRX,BYC
001465,KRX,BYC우
001470,KRX,삼부토건
001500,KRX,현대차증권
001510,KRX,SK증권
001515,KRX,SK증권우
001520,KRX,동양
001525,KRX,동양우
001527,KRX,동양2우B
001530,KRX,DI동일
001540,KRX,안국약품
001550,KRX,조비
001560,KRX,제일연마
001570,KRX,금양
001620,KRX,케이비아이동국실업
001630,KRX,종근당홀딩스
001680,KRX,대상
001685,KRX,대상우
001720,KRX,신영증권
001740,KRX,SK네트웍스
001750,KRX,한양증권
001755,KRX,한양증권우
001770,KRX,SHD
001780,KRX,알루코
001790,KRX,대한제당
001795,KRX,대한제당우
001800,KRX,오리온홀딩스
001810,KRX,무림SP
001820,KRX,삼화콘덴서
001840,KRX,이화공영
001940,KRX,KISCO홀딩스
002020,KRX,코오롱
002025,KRX,코오롱우
002030,KRX,아세아
002070,KRX,비비안
002100,KRX,경농
002140,KRX,고려산업
002150,KRX,도화엔지니어링
002170,KRX,삼양통상
002200,KRX,한국수출포장
002210,KRX,동성제약
002220,KRX,한일철강
002230,KRX,피에스텍
002240,KRX,고려제강
002290,KRX,삼일기업공사
002310,KRX,아세아제지
002320,KRX,한진
002350,KRX,넥센타이어
002355,KRX,넥센타이어1우B
002360,KRX,SH에너지화학
002380,KRX,KCC
002390,KRX,한독
002410,KRX,범양건영
002420,KRX,세기상사
002450,KRX,삼익악기
002460,KRX,HS화성
002600,KRX,조흥
002620,KRX,제일파마홀딩스
002630,KRX,오리엔트바이오
002680,KRX,한탑
002690,KRX,동일제강
002700,KRX,신일전자
002710,KRX,TCC스틸
002720,KRX,국제약품
002760,KRX,보락
002780,KRX,진흥기업
002785,KRX,진흥기업우B
002787,KRX,진흥기업2우B
002790,KRX,아모레퍼시픽홀딩스
002795,KRX,아모레퍼시픽홀딩스우
002800,KRX,신신제약
002810,KRX,삼영무역
002820,KRX,SUN&L
002840,KRX,미원상사
002870,KRX,신풍
002880,KRX,대유에이텍
002900,KRX,TYM
002920,KRX,유성기업
002960,KRX,한국쉘석유
002990,KRX,금호건설
002995,KRX,금호건설우
003000,KRX,부광약품
003010,KRX,혜인
003030,KRX,세아제강지주
003060,KRX,에이프로젠바이오로직스
003070,KRX,코오롱글로벌
003075,KRX,코오롱글로벌우
003080,KRX,SB성보
003090,KRX,대웅
003100,KRX,선광
003120,KRX,일성아이에스
003160,KRX,디아이
003200,KRX,일신방직
003220,KRX,대원제약
003230,KRX,삼양식품
003240,KRX,태광산업
003280,KRX,흥아해운
003300,KRX,한일홀딩스
003310,KRX,대주산업
003350,KRX,한국화장품제조
003380,KOSDAQ GLOBAL,하림지주
003460,KRX,유화증권
003465,KRX,유화증권우
003470,KRX,유안타증권
003475,KRX,유안타증권우
003480,KRX,한진중공업홀딩스
003490,KRX,대한항공
003495,KRX,대한항공우
003520,KRX,영진약품
003530,KRX,한화투자증권
003535,KRX,한화투자증권우
003540,KRX,대신증권
003545,KRX,대신증권우
003547,KRX,대신증권2우B
003550,KRX,LG
003555,KRX,LG우
003560,KRX,IHQ
003570,KRX,SNT다이내믹스
003580,KRX,HLB글로벌
003610,KRX,방림
003620,KRX,KG모빌리티
003650,KRX,미창석유
003670,KRX,포스코퓨처엠
003680,KRX,한성기업
003690,KRX,코리안리
003720,KRX,삼영
003780,KRX,진양산업
003800,KRX,에이스침대
003830,KRX,대한화섬
003850,KRX,보령
003920,KRX,남양유업
003925,KRX,남양유업우
003960,KRX,사조대림
004000,KRX,롯데정밀화학
004020,KRX,현대제철
004060,KRX,SG세계물산
004080,KRX,신흥
004090,KRX,한국석유
004100,KRX,태양금속
004105,KRX,태양금속우
004140,KRX,동방
004150,KRX,한솔홀딩스
004170,KRX,신세계
004250,KRX,NPC
004255,KRX,NPC우
004270,KRX,남성
004310,KRX,현대약품
004360,KRX,세방
004365,KRX,세방우
004370,KRX,농심
004380,KRX,삼익THK
004410,KRX,서울식품
004415,KRX,서울식품우
004430,KRX,송원산업
004440,KRX,삼일씨엔에스
004450,KRX,삼화왕관
004490,KRX,세방전지
004540,KRX,깨끗한나라
004545,KRX,깨끗한나라우
004560,KRX,현대비앤지스틸
004590,KRX,한국가구
004650,KRX,창해에탄올
004690,KRX,삼천리
004700,KRX,조광피혁
004710,KRX,한솔테크닉스
004720,KRX,팜젠사이언스
004770,KRX,써니전자
004780,KRX,대륙제관
004800,KRX,효성
004830,KRX,덕성
004835,KRX,덕성우
004840,KRX,DRB동일
004870,KRX,티웨이홀딩스
004890,KRX,동일산업
004910,KRX,조광페인트
004920,KRX,씨아이테크
004960,KRX,한신공영
004970,KRX,신라교역
004980,KRX,성신양회
004985,KRX,성신양회우
004990,KRX,롯데지주
005010,KRX,휴스틸
005030,KRX,부산주공
005070,KRX,코스모신소재
005090,KRX,SGC에너지
005110,KRX,한창
005160,KRX,동국산업
005180,KRX,빙그레
005250,KRX,녹십자홀딩스
005257,KRX,녹십자홀딩스2우
005290,KRX,동진쎄미켐
005300,KRX,롯데칠성
005305,KRX,롯데칠성우
005320,KRX,온타이드
005360,KRX,모나미
005380,KRX,현대차
005385,KRX,현대차우
005387,KRX,현대차2우B
005389,KRX,현대차3우B
005390,KRX,신성통상
005420,KRX,코스모화학
005430,KRX,한국공항
005440,KRX,현대지에프홀딩스
005490,KRX,POSCO홀딩스
005500,KRX,삼진제약
005610,KRX,SPC삼립
005670,KRX,푸드웰
005680,KRX,삼영전자
005690,KRX,파미셀
005710,KRX,대원산업
005720,KRX,넥센
005725,KRX,넥센우
005740,KRX,크라운해태홀딩스
005745,KRX,크라운해태홀딩스우
005750,KRX,대림바스
005800,KRX,신영와코루
005810,KRX,풍산홀딩스
005820,KRX,원림
005830,KRX,DB손해보험
005850,KRX,에스엘
005860,KRX,한일사료
005870,KRX,휴니드
005880,KRX,대한해운
005930,KRX,삼성전자
005935,KRX,삼성전자우
005940,KRX,NH투자증권
005945,KRX,NH투자증권우
005950,KRX,이수화학
005960,KRX,동부건설
005965,KRX,동부건설우
005990,KRX,매일홀딩스
006040,KRX,동원산업
006050,KRX,국영지앤엠
006060,KRX,화승인더
006090,KRX,사조오양
006110,KRX,삼아알미늄
006120,KRX,SK디스커버리
006125,KRX,SK디스커버리우
006140,KRX,피제이전자
006200,KRX,한국전자홀딩스
006220,KRX,제주은행
006260,KRX,LS
006280,KRX,녹십자
006340,KRX,대원전선
006345,KRX,대원전선우
006360,KRX,GS건설
006370,KRX,대구백화점
006380,KRX,카프로
006390,KRX,한일현대시멘트
006400,KRX,삼성SDI
006405,KRX,삼성SDI우
006490,KRX,인스코비
006570,KRX,대림통상
006620,KRX,동구바이오제약
006650,KRX,대한유화
006660,KRX,삼성공조
006730,KRX,서부T&D
006740,KRX,영풍제지
006800,KRX,미래에셋증권
006805,KRX,미래에셋증권우
006840,KRX,AK홀딩스
006880,KRX,신송홀딩스
006890,KRX,태경케미컬
006910,KRX,보성파워텍
006920,KRX,모헨즈
006980,KRX,우성
007070,KRX,GS리테일
007110,KRX,일신석재
007120,KRX,미래아이앤지
007160,KRX,사조산업
007210,KRX,벽산
007280,KRX,한국특강
007310,KRX,오뚜기
007330,KRX,푸른저축은행
007340,KRX,DN오토모티브
007370,KRX,진양제약
007390,KRX,네이처셀
007460,KRX,에이프로젠
007530,KRX,와이엠
007540,KRX,샘표
007570,KRX,일양약품
007575,KRX,일양약품우
007590,KRX,동방아그로
007610,KRX,선도전기
007660,KRX,이수페타시스
007680,KRX,대원
007690,KRX,국도화학
007700,KRX,F&F홀딩스
007720,KRX,소노스퀘어
007770,KRX,한일화학
007810,KRX,코리아써키트
007815,KRX,코리아써우
007820,KRX,에스엠코어
007860,KRX,서연
007980,KRX,TP
008040,KRX,사조동아원
008060,KRX,대덕
008110,KRX,대동전자
008250,KRX,이건산업
008260,KRX,NI스틸
008290,KRX,원풍물산
008350,KRX,남선알미늄
008355,KRX,남선알미우
008370,KRX,원풍
008420,KRX,문배철강
008470,KRX,부스타
008490,KRX,서흥
008500,KRX,일정실업
008600,KRX,윌비스
008700,KRX,아남전자
008730,KRX,율촌화학
008770,KRX,호텔신라
008775,KRX,호텔신라우
008830,KRX,대동기어
008870,KRX,금비
008930,KRX,한미사이언스
008970,KRX,KBI동양철관
009070,KRX,KCTC
009140,KRX,경인전자
009150,KRX,삼성전기
009155,KRX,삼성전기우
009160,KRX,SIMPAC
009180,KRX,한솔로지스틱스
009190,KRX,대양금속
009200,KRX,무림페이퍼
009240,KRX,한샘
009270,KRX,신원
009290,KRX,광동제약
009300,KRX,삼아제약
009310,KRX,참엔지니어링
009320,KRX,아진전자부품
009410,KRX,태영건설
009415,KRX,태영건설우
009420,KRX,한올바이오파마
009440,KRX,KC그린홀딩스
009450,KRX,경동나비엔
009460,KRX,한창제지
009470,KRX,삼화전기
009520,KOSDAQ GLOBAL,포스코엠텍
009540,KRX,HD한국조선해양
009580,KRX,무림P&P
009620,KRX,삼보산업
009680,KRX,모토닉
009730,KRX,이렘
009770,KRX,삼정펄프
009780,KRX,엠에스씨
009810,KRX,플레이그램
009830,KRX,한화솔루션
009835,KRX,한화솔루션우
009900,KRX,명신산업
009970,KRX,영원무역홀딩스
010040,KRX,한국내화
